Мдт;Материал;Краткий текст материала;Длинный текст материала;Создано;Создал;ПслднИзм;Изменил;ВидМ;ГруппаМтр;БЕИ
400;000000001300079129;Подшипник 22230CC/C3W33 SKF;Подшипник 22230CC/C3W33 SKF;13.12.2007;STZ-SNV03;07.02.2025;TMK-KAG;ZZAP;N13010000;ШТ
400;000000001300198326;Подшипник 80205 ГОСТ520;Подшипник 80205 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198380;Подшипник 46111 ГОСТ520;Подшипник 46111 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198384;Подшипник 180208 ГОСТ520;Подшипник 180208 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198385;Подшипник 180307 ГОСТ520;Подшипник 180307 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198386;Подшипник 180309 ГОСТ520;Подшипник 180309 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198387;Подшипник 180503 ГОСТ520;Подшипник 180503 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198388;Подшипник 180505 ГОСТ520;Подшипник 180505 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198389;Подшипник 180508 ГОСТ520;Подшипник 180508 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198390;Подшипник 180603 ГОСТ520;Подшипник 180603 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198391;Подшипник 180607 ГОСТ520;Подшипник 180607 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198392;Подшипник 180612 ГОСТ520;Подшипник 180612 ГОСТ520;29.10.2014;TMZ-KIV02;10.04.2025;STZ-LNV;ZZAP;N13040000;ШТ
400;000000001300198395;Подшипник 160703 ГОСТ520;Подшипник 160703 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198396;Подшипник 29 ГОСТ520;Подшипник 29 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198397;Подшипник 100 ГОСТ520;Подшипник 100 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198398;Подшипник 101 ГОСТ520;Подшипник 101 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198399;Подшипник 1207 ГОСТ520;Подшипник 1207 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198400;Подшипник 1306 ГОСТ520;Подшипник 1306 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198401;Подшипник 1310 ГОСТ520;Подшипник 1310 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198402;Подшипник 1312 ГОСТ520;Подшипник 1312 ГОСТ520;29.10.2014;TMZ-KIV02;13.03.2025;STZ-LNV;ZZAP;N13040000;ШТ
400;000000001300198403;Подшипник 1509 ГОСТ520;Подшипник 1509 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198405;Подшипник 2212 ГОСТ520;Подшипник 2212 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198406;Подшипник 2226 ГОСТ520;Подшипник 2226 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198407;Подшипник 2230 ГОСТ520;Подшипник 2230 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198408;Подшипник 2312 ГОСТ520;Подшипник 2312 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198411;Подшипник 3608 ГОСТ520;Подшипник 3608 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198412;Подшипник 3634 ГОСТ520;Подшипник 3634 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198413;Подшипник 6012 ГОСТ520;Подшипник 6012 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198415;Подшипник 7217 ГОСТ520;Подшипник 7217 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198416;Подшипник 7219 ГОСТ520;Подшипник 7219 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198417;Подшипник 7220 ГОСТ520;Подшипник 7220 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198418;Подшипник 7307 ГОСТ520;Подшипник 7307 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198419;Подшипник 7310 ГОСТ520;Подшипник 7310 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198420;Подшипник 7320 ГОСТ520;Подшипник 7320 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198421;Подшипник 7604 ГОСТ520;Подшипник 7604 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198422;Подшипник 7606 ГОСТ520;Подшипник 7606 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198423;Подшипник 7612 ГОСТ520;Подшипник 7612 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198424;Подшипник 7613 ГОСТ520;Подшипник 7613 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198425;Подшипник 8106 ГОСТ520;Подшипник 8106 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198427;Подшипник 8214 ГОСТ520;Подшипник 8214 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198430;Подшипник 46211 ГОСТ520;Подшипник 46211 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198431;Подшипник 46312 ГОСТ520;Подшипник 46312 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198433;Подшипник 53618 ГОСТ520;Подшипник 53618 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198434;Подшипник 66410 ГОСТ520;Подшипник 66410 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198435;Подшипник 7208 ГОСТ520;Подшипник 7208 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198437;Подшипник 97530М ГОСТ520;Подшипник 97530М ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198438;Подшипник 176228Л ГОСТ520;Подшипник 176228Л ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198443;Подшипник 2007107 ГОСТ520;Подшипник 2007107 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198444;Подшипник 2007113 ГОСТ520;Подшипник 2007113 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198445;Подшипник 2007128 ГОСТ520;Подшипник 2007128 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198449;Подшипник 3182128 ГОСТ520;Подшипник 3182128 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198450;Подшипник 9039412 ГОСТ520;Подшипник 9039412 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198451;Подшипник 94125 ГОСТ520;Подшипник 94125 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198454;Подшипник 2626 ГОСТ520;Подшипник 2626 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198455;Подшипник 32210 ГОСТ520;Подшипник 32210 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
400;000000001300198456;Подшипник 32214 ГОСТ520;Подшипник 32214 ГОСТ520;29.10.2014;TMZ-KIV02;07.02.2025;TMK-KAG;ZZAP;N13040000;ШТ
