Материал;Краткий текст материала;Длинный текст материала;Базовая ЕИ;Группа материалов;Вид материала;Вид класса;Класс;Формат;Имя признака;Название признака;Значение признака;ОбозначЗначПризнака;Техническая ЕИ значения признака;Материал(полный текст);Значение признака;ОбозначЗначПризнака
000000001300079129;Подшипник 22230CC/C3W33 SKF;Подшипник 22230CC/C3W33 SKF;ШТ;N13010000;ZZAP;001;GM1301;CHAR;DESIGNATION_NULL;Условное обозначение;22230CC/C3W33;22230CC/C3W33;;Подшипник 22230CC/C3W33 SKF;;
000000001300079129;Подшипник 22230CC/C3W33 SKF;Подшипник 22230CC/C3W33 SKF;ШТ;N13010000;ZZAP;001;GM1301;CHAR;MANUFACTURER_NULL;Производитель;SKF;SKF;;Подшипник 22230CC/C3W33 SKF;;
000000001300079129;Подшипник 22230CC/C3W33 SKF;Подшипник 22230CC/C3W33 SKF;ШТ;N13010000;ZZAP;001;GM1301;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 22230CC/C3W33 SKF;;
000000001300198326;Подшипник 80205 ГОСТ520;Подшипник 80205 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;80205;80205;;Подшипник 80205 ГОСТ520;;
000000001300198326;Подшипник 80205 ГОСТ520;Подшипник 80205 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 80205 ГОСТ520;;
000000001300198326;Подшипник 80205 ГОСТ520;Подшипник 80205 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 80205 ГОСТ520;;
000000001300198380;Подшипник 46111 ГОСТ520;Подшипник 46111 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;46111;46111;;Подшипник 46111 ГОСТ520;;
000000001300198380;Подшипник 46111 ГОСТ520;Подшипник 46111 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 46111 ГОСТ520;;
000000001300198380;Подшипник 46111 ГОСТ520;Подшипник 46111 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 46111 ГОСТ520;;
000000001300198384;Подшипник 180208 ГОСТ520;Подшипник 180208 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180208;180208;;Подшипник 180208 ГОСТ520;;
000000001300198384;Подшипник 180208 ГОСТ520;Подшипник 180208 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180208 ГОСТ520;;
000000001300198384;Подшипник 180208 ГОСТ520;Подшипник 180208 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180208 ГОСТ520;;
000000001300198385;Подшипник 180307 ГОСТ520;Подшипник 180307 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180307;180307;;Подшипник 180307 ГОСТ520;;
000000001300198385;Подшипник 180307 ГОСТ520;Подшипник 180307 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180307 ГОСТ520;;
000000001300198385;Подшипник 180307 ГОСТ520;Подшипник 180307 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180307 ГОСТ520;;
000000001300198386;Подшипник 180309 ГОСТ520;Подшипник 180309 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180309;180309;;Подшипник 180309 ГОСТ520;;
000000001300198386;Подшипник 180309 ГОСТ520;Подшипник 180309 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180309 ГОСТ520;;
000000001300198386;Подшипник 180309 ГОСТ520;Подшипник 180309 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180309 ГОСТ520;;
000000001300198387;Подшипник 180503 ГОСТ520;Подшипник 180503 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180503;180503;;Подшипник 180503 ГОСТ520;;
000000001300198387;Подшипник 180503 ГОСТ520;Подшипник 180503 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180503 ГОСТ520;;
000000001300198387;Подшипник 180503 ГОСТ520;Подшипник 180503 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180503 ГОСТ520;;
000000001300198388;Подшипник 180505 ГОСТ520;Подшипник 180505 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180505;180505;;Подшипник 180505 ГОСТ520;;
000000001300198388;Подшипник 180505 ГОСТ520;Подшипник 180505 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180505 ГОСТ520;;
000000001300198388;Подшипник 180505 ГОСТ520;Подшипник 180505 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180505 ГОСТ520;;
000000001300198389;Подшипник 180508 ГОСТ520;Подшипник 180508 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180508;180508;;Подшипник 180508 ГОСТ520;;
000000001300198389;Подшипник 180508 ГОСТ520;Подшипник 180508 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180508 ГОСТ520;;
000000001300198389;Подшипник 180508 ГОСТ520;Подшипник 180508 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;STANDART;Нормативный документ;ГОСТ520;ГОСТ520;;Подшипник 180508 ГОСТ520;;
000000001300198390;Подшипник 180603 ГОСТ520;Подшипник 180603 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;DESIGN_STANDARD;Обозн. по нормативн. документу;180603;180603;;Подшипник 180603 ГОСТ520;;
000000001300198390;Подшипник 180603 ГОСТ520;Подшипник 180603 ГОСТ520;ШТ;N13040000;ZZAP;001;GM1304;CHAR;PRODUCT_TYPE;Вид продукции;Подш.;Подшипник;;Подшипник 180603 ГОСТ520;;
